5A8	Aleknagik / New Airport	US
AF-0005	Khost International Airport	AF
AGGH	Honiara International Airport	SB
AGGM	Munda Airport	SB
AHJ	Hongyuan Airport	CN
ANYN	Nauru International Airport	NR
AQBC	Boulder Clay Runway	AQ
AT03	Concordia Skyway	AQ
AT28	Vostok Skiway	AQ
AXF	Alxa Left Banner Bayanhot Airport	CN
AYBK	Buka Airport	PG
AYCH	Chimbu Airport	PG
AYDU	Daru Airport	PG
AYGA	Goroka Airport	PG
AYGN	Gurney Airport	PG
AYGR	Girua Airport	PG
AYHK	Hoskins Airport	PG
AYKM	Kerema Airport	PG
AYKV	Kavieng Airport	PG
AYMD	Madang Airport	PG
AYMH	Mount Hagen Kagamuga Airport	PG
AYMN	Mendi Airport	PG
AYMO	Momote Airport	PG
AYNZ	Nadzab Airport	PG
AYPY	Port Moresby Jacksons International Airport	PG
AYTK	Tokua Airport	PG
AYVN	Vanimo Airport	PG
AYWD	Wapenamanda Airport	PG
AYWK	Wewak International Airport	PG
AZ-0001	Zabrat Airport	AZ
AZ-0013	Sitalchay Airbase	AZ
AZ-0021	Qizilagach Air Base	AZ
BCW	Benguera Island Airport	MZ
BG-JAM	Bezmer Air Base	BG
BGAA	Aasiaat Airport	GL
BGBW	Narsarsuaq Airport	GL
BGGH	Nuuk Airport	GL
BGKK	Kulusuk Airport	GL
BGSF	Kangerlussuaq Airport	GL
BGSS	Sisimiut Airport	GL
BGTL	Thule Air Base	GL
BIAR	Akureyri Airport	IS
BIEG	Egilsstaðir Airport	IS
BIHN	Hornafjörður Airport	IS
BIHU	Húsavík Airport	IS
BIIS	Ísafjörður Airport	IS
BIKF	Keflavik International Airport	IS
BIRK	Reykjavik Airport	IS
BISI	Siglufjörður Airport	IS
BIVM	Vestmannaeyjar Airport	IS
BKPR	Priština Adem Jashari International Airport	XK
BR-0569	Glauber de Andrade Rocha Airport	BR
BTZ	Betong International Airport	TH
BY-0001	Orsha Airport - Balbasovo Air Base	BY
BY-0003	Bobrovichi Air Base	BY
BY-0006	Osovtsy Air Base	BY
BZ-BGK	Big Creek Airport	BZ
BZ-CUK	Caye Caulker Airport	BZ
BZ-CYC	Caye Chapel Airport	BZ
BZ-CZH	Corozal Municipal Airport	BZ
BZ-DGA	Dangriga Airport	BZ
BZ-PLJ	Placencia Airport	BZ
BZ-PND	Punta Gorda Airport	BZ
BZ-SJX	Sartaneja Airport	BZ
BZ-SPR	John Greif II Airport	BZ
BZ-TZA	Sir Barry Bowen Municipal Airport	BZ
BZB	Bazaruto Island Airport	MZ
CA-0582	Bamfield Airstrip	CA
CAJ4	Anahim Lake Airport	CA
CAZ5	Cache Creek-Ashcroft Regional Airport	CA
CBBC	Bella Bella (Campbell Island) Airport	CA
CD-0024	Boma Lukandu International Airport	CD
CL-0015	Nuevo Chaitén Airport	CL
CN-0003	Laohutun Air Base	CN
CN-0004	Pulandian Air Base	CN
CN-0006	Beijing Shahezhen Air Base	CN
CN-0007	Beijing Tongxian Air Base	CN
CN-0012	Yuanmou Air Base	CN
CN-0013	Fengning Air Base	CN
CN-0014	Hohhot Bikeqi Air Base	CN
CN-0015	Huairen Air Base	CN
CN-0016	Liangxiangzhen Air Base	CN
CN-0018	Tangguantun Air Base	CN
CN-0020	Wenshui Air Base	CN
CN-0021	Yangcun Air Base	CN
CN-0022	Yongning Air Base	CN
CN-0024	Zhangjiakou Ningyuan Airport	CN
CN-0025	Tangshan Zunhua Air Base	CN
CN-0026	Chengdu Huangtianba Air Base	CN
CN-0027	Baoshan Yunrui Airport	CN
CN-0030	Chongqing Baishiyi Air Base	CN
CN-0040	Lincang Boshang Airport	CN
CN-0041	Luliang Air Base	CN
CN-0043	Honghe Mengzi Airport / Mengzi Air Base	CN
CN-0045	Qionglai Air Base	CN
CN-0046	Xigaze Peace Airport / Shigatse Air Base	CN
CN-0048	Wenshan Air Base	CN
CN-0049	Xiangyun Midu Air Base	CN
CN-0050	Panzhihua Bao'anying Airport	CN
CN-0053	Baihe Ningming Air Base	CN
CN-0055	Changsha Datuopu Airport / Changsha Air Base	CN
CN-0056	Dangyang Air Base	CN
CN-0057	Foluo Northeast Air Base	CN
CN-0061	Foshan Shadi Airport	CN
CN-0063	Guiping Mengxu Air Base	CN
CN-0067	Xinyang Minggang Airport	CN
CN-0068	Huizhou Pingtan Airport	CN
CN-0069	Jialaishi Air Base	CN
CN-0071	Leiyang Air Base	CN
CN-0072	Lingshui Air Base	CN
CN-0074	Shangqiu Air Base	CN
CN-0076	Zhengzhou Air Base	CN
CN-0079	Shaoguan Danxia Airport	CN
CN-0080	Suixi Air Base	CN
CN-0081	Jinggangshan Airport	CN
CN-0082	Baise Youjiang Airport	CN
CN-0083	Guodu Air Base	CN
CN-0085	Xiaogan Air Base	CN
CN-0089	Lianyungang Huaguoshan International Airport	CN
CN-0090	Cangxian Air Base	CN
CN-0091	Dongying Shengli Airport	CN
CN-0092	Jiaozhou Jiaocheng Air Base	CN
CN-0094	Jiugucheng Air Base	CN
CN-0095	Kaifeng Air Base	CN
CN-0096	Laiyang Air Base	CN
CN-0097	Luyang Air Base	CN
CN-0104	Xingcheng Air Base	CN
CN-0106	Xuzhou Daguozhang Air Base	CN
CN-0111	Zhucheng Air Base	CN
CN-0113	Altay Xuedu Airport	CN
CN-0114	Baoji Air Base	CN
CN-0117	Gonghe Air Base	CN
CN-0121	Huangdicun Naval Air Base	CN
CN-0123	Lanzhou Air Base	CN
CN-0125	Lintao Air Base	CN
CN-0127	Qingshui Air Base	CN
CN-0130	Tianshui Maijishan Airport	CN
CN-0132	Ürümqi South Air Base	CN
CN-0133	Uxxaktal Air Base	CN
CN-0134	Wugong Air Base	CN
CN-0135	Ürümqi Changji Air Base	CN
CN-0136	Wuwei Air Base	CN
CN-0137	Xi'an Air Base	CN
CN-0138	Xincheng Air Base	CN
CN-0139	Yaerbashi Test Range	CN
CN-0140	Yanliang Air Base	CN
